id,name,full_name,team,team_id,pos,pos_id,price,proj_gw,proj_6gw,proj_by_gw,mins_proj,value,sel_pct,pts_last,mins_last,ppg_last,goals_last,assists_last,xgi90_last,defcon_last,cs_last,bonus_last,status,news,joined,is_new,pens,corners,fk,fdr6,cs_rate,note
236,Dewsbury-Hall,Kiernan Dewsbury-Hall,EVE,9,MID,3,6.5,4.268,25.61,"[4.374, 4.05, 4.011, 4.05, 4.737, 4.385]",70,0.6566,3.9,151,2629,4.9,8,7,0.33,230,8,18,a,,2025-08-06,False,,5,,17,0.224,
399,Cherki,Rayan Cherki,MCI,15,MID,3,7.5,4.266,25.6,"[4.424, 4.088, 4.801, 3.741, 4.801, 3.741]",59,0.5688,9.3,135,1772,4.1,4,13,0.67,135,8,16,a,,2025-06-10,False,,5,1,18,0.312,
533,Mukiele,Nordi Mukiele,SUN,20,DEF,2,5.5,4.165,24.99,"[4.315, 4.718, 3.977, 3.962, 3.301, 4.718]",73,0.7573,7.7,151,2784,4.7,3,5,0.14,273,9,11,a,,2025-08-17,False,,,,18,0.247,
61,Truffert,Adrien Truffert,BOU,3,DEF,2,5.5,4.153,24.92,"[3.459, 4.613, 4.208, 4.613, 4.193, 3.833]",89,0.7551,4.7,165,3378,4.3,1,6,0.12,301,11,19,a,,2025-06-16,False,,,,22,0.227,
389,Matheus N.,Matheus Nunes,MCI,15,DEF,2,6.0,4.121,24.73,"[4.316, 3.895, 4.75, 3.508, 4.75, 3.508]",75,0.6868,4.9,154,2861,4.5,1,8,0.08,195,12,16,a,,2023-09-01,False,5,,,18,0.312,
155,Enzo,Enzo Fernández,CHE,6,MID,3,7.0,4.106,24.64,"[3.937, 4.616, 3.276, 4.616, 3.937, 4.257]",80,0.5866,5.5,157,3114,4.4,10,5,0.54,244,8,19,a,,2023-01-31,False,2,7,2,18,0.254,
95,O.Dango,Dango Ouattara,BRE,4,MID,3,6.5,4.024,24.14,"[4.238, 3.919, 4.594, 3.919, 3.881, 3.591]",66,0.619,1.4,136,2271,4.2,7,8,0.47,185,6,16,a,,2025-08-16,False,,8,,19,0.232,
542,E.Le Fée,Enzo Le Fée,SUN,20,MID,3,6.0,4.014,24.08,"[4.16, 4.467, 3.868, 3.835, 3.285, 4.467]",77,0.6689,12.6,147,2930,4.1,5,6,0.34,319,10,16,a,,2025-07-01,False,2,6,2,18,0.247,
428,Cunha,Matheus Santos Carneiro da Cunha,MUN,16,MID,3,8.0,4.0,24.0,"[4.11, 4.442, 3.795, 3.758, 3.795, 4.1]",66,0.5,14.1,143,2493,4.3,10,4,0.37,211,8,14,a,,2025-06-01,False,,,,17,0.283,
112,Van Hecke,Jan Paul van Hecke,TOT,19,DEF,2,5.0,3.939,23.63,"[3.763, 4.451, 3.763, 4.102, 4.102, 3.452]",83,0.7877,8.3,148,3210,4.1,3,3,0.13,317,10,8,a,,2026-06-18,True,,,,18,0.239,
